src_task_id,src_name,src_chiplet,src_core,dst_task_id,dst_name,dst_chiplet,dst_core,volume_bytes,comm_latency_cycles,inject_cycle
0,load_netlist,2,0,1,init_place_0,1,0,256,43,500
0,load_netlist,2,0,2,init_place_1,0,0,256,43,500
0,load_netlist,2,0,3,init_place_2,1,1,256,43,500
0,load_netlist,2,0,4,init_place_3,0,1,256,43,500
0,load_netlist,2,0,5,init_place_4,4,0,256,43,500
0,load_netlist,2,0,6,init_place_5,2,0,256,43,500
0,load_netlist,2,0,7,init_place_6,3,0,256,43,500
0,load_netlist,2,0,8,init_place_7,0,0,256,43,500
0,load_netlist,2,0,9,init_place_8,0,1,256,43,500
0,load_netlist,2,0,10,init_place_9,0,2,256,43,500
0,load_netlist,2,0,11,init_place_10,0,3,256,43,500
0,load_netlist,2,0,12,init_place_11,0,0,256,43,500
0,load_netlist,2,0,13,init_place_12,6,1,256,43,500
0,load_netlist,2,0,14,init_place_13,0,1,256,43,500
0,load_netlist,2,0,15,init_place_14,0,2,256,43,500
0,load_netlist,2,0,16,init_place_15,3,1,256,43,500
0,load_netlist,2,0,17,init_place_16,0,3,256,43,500
0,load_netlist,2,0,18,init_place_17,0,0,256,43,500
0,load_netlist,2,0,19,init_place_18,1,0,256,43,500
0,load_netlist,2,0,20,init_place_19,0,1,256,43,500
0,load_netlist,2,0,21,init_place_20,5,0,256,104,500
0,load_netlist,2,0,22,init_place_21,6,3,256,43,500
0,load_netlist,2,0,23,init_place_22,5,1,256,43,500
0,load_netlist,2,0,24,init_place_23,4,0,256,43,500
0,load_netlist,2,0,25,init_place_24,3,0,256,43,500
0,load_netlist,2,0,26,init_place_25,4,2,256,43,500
0,load_netlist,2,0,27,init_place_26,3,1,256,43,500
0,load_netlist,2,0,28,init_place_27,2,0,256,43,500
0,load_netlist,2,0,29,init_place_28,4,0,256,102,500
0,load_netlist,2,0,30,init_place_29,1,1,256,43,500
0,load_netlist,2,0,31,init_place_30,4,2,256,43,500
0,load_netlist,2,0,32,init_place_31,3,2,256,43,500
0,load_netlist,2,0,33,init_place_32,5,0,256,145,500
0,load_netlist,2,0,34,init_place_33,2,0,256,43,500
0,load_netlist,2,0,35,init_place_34,1,2,256,43,500
0,load_netlist,2,0,36,init_place_35,1,3,256,106,500
0,load_netlist,2,0,37,init_place_36,1,0,256,43,500
0,load_netlist,2,0,38,init_place_37,6,1,256,43,500
0,load_netlist,2,0,39,init_place_38,1,1,256,147,500
0,load_netlist,2,0,40,init_place_39,1,2,256,61,500
0,load_netlist,2,0,41,init_place_40,2,3,256,43,500
0,load_netlist,2,0,42,init_place_41,1,3,256,43,500
0,load_netlist,2,0,43,init_place_42,0,2,256,43,500
0,load_netlist,2,0,44,init_place_43,6,2,256,43,500
0,load_netlist,2,0,45,init_place_44,0,3,256,61,500
0,load_netlist,2,0,46,init_place_45,3,3,256,61,500
0,load_netlist,2,0,47,init_place_46,3,0,256,102,500
